Data,Temp_OBS,UR_OBS,Prec_OBS
18/jun,13.06666667,75.125,0.2
19/jun,15.44166667,67.59166667,0
20/jun,17.15416667,64.9375,0
21/jun,18.1875,60.24166667,0
22/jun,17.5125,64.65833333,0
23/jun,18.17916667,66.79166667,0
24/jun,18.12916667,67.64583333,0
25/jun,18.54583333,67.3125,0
26/jun,18.32083333,69.325,0
27/jun,18.80833333,64.07916667,0
28/jun,18.63333333,64.4,0
29/jun,17.82083333,69.39166667,0
30/jun,18.9375,67.46666667,0
01/jul,16.81666667,76.95833333,0
02/jul,17.09583333,69.44166667,0
03/jul,15.88333333,67.95833333,0
04/jul,15.89583333,63.675,0
05/jul,17.09565217,61.87391304,0
06/jul,17.61111111,56.51111111,0
07/jul,17.65263158,56.26315789,0
08/jul,18.03157895,59.35263158,0
09/jul,18.185,83.365,6.8
10/jul,18.41,82.36,0.4
11/jul,21.62857143,69.9047619,0
12/jul,22.64736842,58.46315789,0
13/jul,21.865,47.5,0
14/jul,15.02352941,56.79411765,0
15/jul,14.80625,57.19375,0
16/jul,14.835,65.44,0
17/jul,19.77,59.115,0
18/jul,18.86666667,71.4,0
19/jul,18.43888889,67.77777778,0
20/jul,19.3375,62.35625,0
21/jul,20.40952381,60.91428571,0
22/jul,19.03,66.885,0
23/jul,19.79090909,58.42272727,0
24/jul,21.45789474,47.92105263,0
25/jul,21.125,49.60625,0
26/jul,22.3375,49.86875,0
27/jul,21.33684211,58.18947368,0
28/jul,22.29545455,59.77272727,0
29/jul,18.3,68.17916667,0
30/jul,16.875,68.425,0
31/jul,17.53333333,70.94166667,0
01/ago,18.10416667,66.9625,0
02/ago,20.10416667,60.68333333,0
03/ago,20.3,56.47083333,0
04/ago,20.6,50.93333333,0
05/ago,20.5375,55.725,0
06/ago,22.01666667,46.43333333,0
07/ago,21.69583333,51.25416667,0
08/ago,20.51666667,62.7375,0
09/ago,21.6875,60.44583333,0
10/ago,22.94583333,56.83333333,0
11/ago,24.13913043,51.92608696,0
12/ago,21.39583333,61.50833333,0
13/ago,18.7625,69.85833333,0
14/ago,18.85416667,67.55,0
15/ago,21.2375,66.75416667,0
16/ago,23.48571429,59.35238095,0
17/ago,23.2875,52.65416667,0
18/ago,23.50416667,49.75416667,0
19/ago,22.1875,53.4,0
20/ago,20.6625,58.05833333,0
21/ago,22.64583333,53.875,0
22/ago,22.875,49.47083333,0
23/ago,26.475,32.825,0
24/ago,25.18,50.48,4.4
25/ago,21.6875,71.11666667,0
26/ago,16.525,75.54166667,8
27/ago,13.94545455,72.38636364,1.2
28/ago,15.825,70.45,0.4
29/ago,18.85833333,64.07083333,0
30/ago,19.62916667,65.2875,0
01/set,22.54166667,38.82916667,0
02/set,24.74583333,57.07916667,7.6
03/set,23.6375,72.9625,25.4
04/set,25.59130435,65.16086957,0.7
05/set,23.93333333,70.80416667,5.2
06/set,19.925,66.825,0
07/set,22.02608696,58.5826087,0
08/set,24.02083333,53.47083333,0
09/set,22.39583333,60.84583333,0
10/set,21.9875,63.9375,0
11/set,24.15833333,57.6125,0
12/set,24.88333333,42.425,0
13/set,26.69166667,39.20833333,0
14/set,21.20833333,71.10416667,17.1
15/set,18.4,70.54166667,0.2
16/set,20.95416667,61.92916667,0
17/set,25.2375,54.425,0
18/set,27.18333333,42.44583333,0
19/set,27.35416667,48.35,0
