Data,Temp_ETA,UR_ETA,Prec_ETA
2023-06-17,22.57,51.72,0.5
2023-06-18,17.15,82.6,19.5
2023-06-19,20.05,70.2,15.0
2023-06-20,20.64,53.31,0.0
2023-06-21,19.78,50.78,0.0
2023-06-22,21.41,49.32,0.0
2023-06-23,20.03,53.65,0.0
2023-06-24,20.79,52.48,0.0
2023-06-25,21.17,58.92,0.0
2023-06-26,20.03,48.72,0.0
2023-06-27,21.04,52.3,0.0
2023-06-28,21.2,51.03,0.0
2023-06-29,20.15,43.92,0.0
2023-06-30,18.3,68.54,0.0
2023-07-01,21.52,51.9,0.0
2023-07-02,19.55,49.44,0.0
2023-07-03,17.34,58.53,0.0
2023-07-04,20.56,57.16,5.2
2023-07-05,19.22,71.74,19.1
2023-07-06,19.55,43.64,0.0
2023-07-07,20.82,49.86,0.0
2023-07-08,20.33,52.16,0.0
2023-07-09,20.98,38.24,0.0
2023-07-10,23.35,38.05,0.0
2023-07-11,22.43,45.95,0.0
2023-07-12,22.22,50.81,0.0
2023-07-13,22.53,53.1,0.0
2023-07-14,20.79,69.07,3.4
2023-07-15,22.54,59.2,13.6
2023-07-16,21.54,64.53,5.2
2023-07-17,22.01,55.65,0.0
2023-07-18,22.56,49.02,0.0
2023-07-19,21.28,49.48,0.0
2023-07-20,14.48,76.29,0.0
2023-07-21,11.78,72.0,0.0
2023-07-22,17.02,49.72,0.0
2023-07-23,20.96,51.78,0.0
2023-07-24,22.34,39.72,0.0
2023-07-25,20.74,47.7,0.0
2023-07-26,21.22,46.26,0.0
2023-07-27,21.41,45.61,0.0
2023-07-28,21.18,51.47,0.0
2023-07-29,22.12,46.38,2.9
2023-07-30,24.41,40.57,0.8
2023-07-31,19.75,56.16,0.0
2023-08-01,22.17,54.83,0.0
2023-08-02,21.03,52.84,0.0
2023-08-03,22.96,34.52,0.0
2023-08-04,23.47,34.96,0.0
2023-08-05,19.61,64.67,0.0
2023-08-06,23.48,35.13,0.0
2023-08-07,24.38,38.93,0.0
2023-08-08,24.03,42.64,0.0
2023-08-09,21.37,60.41,0.0
2023-08-10,19.75,68.02,0.7
2023-08-11,15.95,73.38,0.0
2023-08-12,25.01,45.91,0.0
2023-08-13,25.85,35.72,0.0
2023-08-14,22.38,51.13,1.9
2023-08-15,23.99,42.55,1.9
2023-08-16,22.43,52.72,0.0
2023-08-17,22.79,43.78,0.0
2023-08-18,23.03,36.82,0.0
2023-08-19,22.01,54.52,3.4
2023-08-20,24.12,48.85,1.8
2023-08-21,21.67,63.81,13.0
2023-08-22,22.98,51.86,0.3
2023-08-23,23.35,45.32,0.0
2023-08-24,25.0,39.85,0.0
2023-08-25,26.9,48.29,4.3
2023-08-26,25.33,58.48,2.7
2023-08-27,19.09,67.11,0.6
2023-08-28,18.75,69.75,1.9
2023-08-29,18.33,76.45,1.0
2023-08-30,22.59,66.72,12.6
2023-08-31,17.16,66.27,0.0
2023-09-01,14.57,62.02,0.0
2023-09-02,21.92,46.79,0.0
2023-09-03,23.53,41.18,0.0
2023-09-04,25.97,51.66,20.5
2023-09-05,23.7,40.24,0.0
2023-09-06,20.15,69.21,7.3
2023-09-07,24.28,47.24,0.0
2023-09-08,23.85,50.76,0.0
2023-09-09,20.37,55.68,0.0
2023-09-10,24.92,39.62,2.5
2023-09-11,24.2,41.32,0.0
2023-09-12,26.84,41.98,0.2
2023-09-13,25.5,37.15,0.0
2023-09-14,18.1,71.68,6.1
2023-09-15,25.45,37.13,0.0
2023-09-16,23.68,46.72,0.0
2023-09-17,28.55,34.94,0.0
2023-09-18,29.67,29.59,0.0
2023-09-19,28.25,29.87,0.0
2023-09-20,24.98,36.2,0.0
2023-09-21,26.53,26.08,0.0
2023-09-22,25.28,34.83,0.0
2023-09-23,27.68,30.29,0.0
2023-09-24,26.95,27.7,0.0
2023-09-25,28.47,29.45,0.0
2023-09-26,20.72,65.62,0.0
2023-09-27,28.22,26.93,0.0
2023-09-28,19.53,67.52,1.8
2023-09-29,19.45,73.68,0.0
2023-09-30,27.55,46.98,10.5
2023-10-01,30.22,33.13,0.0
2023-10-02,26.63,48.55,7.7
2023-10-03,29.44,42.35,10.4
2023-10-04,29.79,43.65,3.6
2023-10-05,29.34,47.29,2.8
2023-10-06,28.32,49.06,8.4
2023-10-07,23.39,70.3,16.6
2023-10-08,19.24,77.86,10.7
2023-10-09,23.8,63.5,15.1
2023-10-10,18.51,78.37,22.0
2023-10-11,22.3,61.26,1.1
2023-10-12,25.38,63.42,10.5
2023-10-13,27.58,51.52,0.3
2023-10-14,26.93,53.8,4.7
2023-10-15,27.03,57.87,13.3
2023-10-16,28.89,44.86,0.0
2023-10-17,30.05,32.11,0.0
2023-10-18,28.08,38.39,0.0
2023-10-19,23.94,67.4,2.1
2023-10-20,28.27,52.47,6.4
2023-10-21,22.04,69.96,0.0
2023-10-22,20.8,71.16,0.0
2023-10-23,22.67,64.69,0.0
2023-10-24,27.52,50.74,16.9
2023-10-25,24.37,67.85,4.9
2023-10-26,20.41,69.41,0.5
2023-10-27,23.6,67.3,7.7
2023-10-28,27.0,61.72,3.4
2023-10-29,27.82,56.5,19.1
2023-10-30,18.54,69.55,1.6
2023-10-31,25.29,48.89,0.0
2023-11-01,17.8,75.96,0.0
2023-11-02,21.96,70.4,0.0
2023-11-03,25.66,57.2,0.0
2023-11-04,26.66,56.77,0.0
2023-11-05,23.24,69.69,6.2
2023-11-06,23.16,70.99,21.7
2023-11-07,24.08,68.02,2.5
2023-11-08,27.4,53.51,2.9
2023-11-09,28.54,41.41,0.0
2023-11-10,29.97,42.58,0.0
2023-11-11,31.29,34.71,0.0
2023-11-12,32.13,36.7,4.5
2023-11-13,25.73,62.13,0.0
2023-11-14,29.11,48.88,1.0
2023-11-15,31.17,31.99,0.0
2023-11-16,25.08,59.16,0.0
2023-11-17,30.42,34.54,0.0
2023-11-18,31.02,34.22,0.0
2023-11-19,31.2,45.76,1.6
2023-11-20,26.87,56.4,1.2
2023-11-21,23.9,70.73,23.3
2023-11-22,22.61,69.38,0.0
2023-11-23,25.12,65.91,18.5
2023-11-24,27.31,56.01,3.0
2023-11-25,29.47,46.55,3.2
2023-11-26,29.68,46.99,8.0
2023-11-27,24.89,61.2,23.0
2023-11-28,27.05,57.13,8.4
2023-11-29,25.72,69.25,71.6
2023-11-30,28.3,45.49,4.9
2023-12-01,26.1,52.15,0.0
2023-12-02,29.91,40.81,0.0
2023-12-03,26.89,54.83,0.0
2023-12-04,22.93,76.68,10.2
2023-12-05,26.8,62.28,5.6
2023-12-06,23.48,77.52,35.4
2023-12-07,24.38,70.98,38.8
2023-12-08,24.65,72.27,31.6
2023-12-09,28.44,56.26,3.5
2023-12-10,29.48,49.79,3.1
2023-12-11,24.7,66.28,0.0
2023-12-12,28.35,53.9,9.3
2023-12-13,28.38,51.24,10.0
2023-12-14,26.46,57.44,16.2
2023-12-15,21.34,69.3,2.5
2023-12-16,27.42,62.4,9.9
2023-12-17,26.61,62.53,18.2
2023-12-18,27.95,57.42,4.2
2023-12-19,28.3,55.75,14.2
2023-12-20,25.65,59.5,1.2
2023-12-21,21.98,61.53,0.0
2023-12-22,26.91,58.31,4.2
2023-12-23,25.45,60.56,1.2
2023-12-24,25.9,64.02,14.5
2023-12-25,27.15,59.82,0.1
