Data,Temp_WRF,UR_WRF,Prec_WRF
2023-06-17,15.39,77.81,0.4
2023-06-18,14.48,73.14,0.0
2023-06-19,15.02,73.31,0.0
2023-06-20,16.31,71.89,0.0
2023-06-21,17.13,72.22,0.0
2023-06-22,19.83,51.89,0.0
2023-06-23,16.19,67.05,0.1
2023-06-24,20.42,58.57,0.0
2023-06-25,20.47,60.89,0.0
2023-06-26,20.28,49.49,0.0
2023-06-27,21.01,47.95,0.0
2023-06-28,20.1,51.85,0.0
2023-06-29,18.86,67.3,0.0
2023-06-30,18.83,68.86,0.0
2023-07-01,19.56,57.58,0.0
2023-07-02,16.49,73.11,0.0
2023-07-03,16.84,69.89,0.0
2023-07-04,20.0,52.54,0.0
2023-07-05,16.33,56.9,0.0
2023-07-06,17.58,52.07,0.0
2023-07-07,18.42,45.15,0.0
2023-07-08,19.9,42.54,0.0
2023-07-09,19.25,53.21,0.2
2023-07-10,21.95,39.24,0.0
2023-07-11,24.04,32.51,0.0
2023-07-12,24.02,32.16,0.0
2023-07-13,18.61,68.09,30.4
2023-07-14,15.25,70.86,0.8
2023-07-15,13.28,66.44,0.0
2023-07-16,16.96,52.9,0.0
2023-07-17,20.78,45.24,0.0
2023-07-18,13.87,66.62,0.0
2023-07-19,20.16,71.44,0.1
2023-07-20,20.35,66.72,0.1
2023-07-21,19.49,63.93,0.0
2023-07-22,18.8,59.96,0.0
2023-07-23,17.87,55.01,0.0
2023-07-24,19.59,49.3,0.0
2023-07-25,21.01,41.72,0.0
2023-07-26,20.24,45.89,0.1
2023-07-27,22.78,33.44,0.0
2023-07-28,22.51,54.17,0.3
2023-07-29,18.74,71.73,0.0
2023-07-30,19.0,69.05,0.0
2023-07-31,20.92,60.04,0.0
2023-08-01,23.02,47.68,0.0
2023-08-02,22.58,42.45,0.0
2023-08-03,23.44,32.35,0.0
2023-08-04,23.05,33.4,0.0
2023-08-05,23.48,27.51,0.0
2023-08-06,19.33,61.08,0.0
2023-08-07,24.14,35.01,0.1
2023-08-08,24.28,35.9,0.1
2023-08-09,20.56,63.66,0.0
2023-08-10,24.58,33.7,0.0
2023-08-11,23.64,38.57,0.0
2023-08-12,23.01,48.6,0.0
2023-08-13,21.45,57.67,2.4
2023-08-14,15.26,75.71,3.5
2023-08-15,19.75,64.55,0.3
2023-08-16,21.42,61.65,0.0
2023-08-17,23.6,47.98,0.0
2023-08-18,24.66,37.34,0.0
2023-08-19,23.71,38.23,0.0
2023-08-20,17.59,45.12,0.0
2023-08-21,18.7,38.35,0.0
2023-08-22,24.22,53.31,0.1
2023-08-23,25.26,24.14,0.0
2023-08-24,23.68,50.51,0.1
2023-08-25,20.43,73.76,1.8
2023-08-26,14.48,61.96,0.0
2023-08-27,15.62,72.98,0.5
2023-08-28,13.11,73.85,1.1
2023-08-29,13.04,64.8,0.0
2023-08-30,18.22,64.91,0.0
2023-08-31,19.5,69.86,18.9
