obs_col,model_col,n,T_pos,expected_T,sd_T,Z,p_value,ties_present,wilcox_statistic,wilcox_pvalue
Temp_OBS,Temp_WRF,363,23840,33033,2000.624527491353,-4.595065127751581,4.3261412707717994e-6,TRUE,23840,4.326120429440985e-6
Temp_OBS,Temp_ETA,363,44249,33033,2000.624527491353,5.606249371572036,2.0675800849190296e-8,TRUE,44249,2.0675738241205703e-8
Temp_OBS,Temp_BRAMS,363,20004,33033,2000.624527491353,-6.512466392850576,7.392686462992515e-11,TRUE,20004,7.392615700914561e-11
UR_OBS,UR_WRF,363,34399,33033,2000.624527491353,0.682786790439319,0.4947415778879505,FALSE,34399,0.4947415778879505
UR_OBS,UR_ETA,363,16647.5,33033,2000.624527491353,-8.190192499812197,2.220446049250313e-16,TRUE,16647.5,2.6080841829059653e-16
UR_OBS,UR_BRAMS,363,61317.5,33033,2000.624527491353,14.137835266603892,0,TRUE,61317.5,2.2200843020521663e-45
Prec_OBS,Prec_WRF,220,15203.5,12155,945.194424443987,3.225262359956564,0.0012585727383283007,TRUE,15203.5,0.0012579806104330076
Prec_OBS,Prec_ETA,245,20046.5,15067.5,1110.4160256408406,4.483905027511226,7.328929152672359e-6,TRUE,20046.5,7.3262271677367495e-6
Prec_OBS,Prec_BRAMS,231,19690,13398,1016.7984067650775,6.1880506087906495,6.091276372188759e-10,TRUE,19690,6.08197716426793e-10
