Mes,Temp_OBS_Media,Temp_ETA_Media,Temp_BRAMS_Media,Temp_WRF_Media,UR_OBS_Media,UR_ETA_Media,UR_BRAMS_Media,UR_WRF_Media,Prec_OBS_Acumulada,Prec_ETA_Acumulada,Prec_BRAMS_Acumulada,Prec_WRF_Acumulada
2023-01-01,23.86199227032258,23.52516129032258,22.55677419354839,22.443870967741937,71.29194188612904,70.76064516129033,89.9916129032258,79.7941935483871,241.5,359.4,648.7,313.8
2023-02-01,24.270052229642857,24.105,23.14107142857143,22.720714285714287,73.84971179178571,69.995,89.19678571428571,80.04821428571428,219.1,257.3,514.6,319.8
2023-03-01,24.551005142580646,23.960322580645162,23.416451612903227,23.34032258064516,68.65413744741936,66.77677419354839,83.80580645161291,73.37967741935483,180.9,142.3,192.2,142.4
2023-04-01,21.488466184,22.935333333333332,21.03,20.724333333333334,70.66051328500001,66.44833333333334,80.57333333333334,71.71000000000001,79.8,171.2,90.6,50.4
2023-05-01,19.61290322612903,21.240645161290324,19.863870967741935,19.166451612903227,67.4115860216129,62.49032258064516,74.14387096774193,69.90838709677419,30.700000000000003,81.5,42.2,35.4
2023-06-01,17.712666556666665,20.143666666666668,17.798333333333332,18.083333333333332,69.23722738266667,57.230666666666664,78.02066666666667,65.48333333333333,24.8,41.3,13.4,9.8
2023-07-01,18.722189449032257,20.59774193548387,18.089354838709678,19.18032258064516,62.99451813129032,52.619032258064514,70.11354838709677,55.46612903225807,7.2,50.2,0.9,32
2023-08-01,20.98903775366667,22.289032258064516,18.223548387096773,20.929354838709678,58.826633273333336,52.45935483870968,73.25258064516129,50.85774193548387,14,46.1,61.9,28.9
2023-09-01,24.42307971,24.295333333333332,23.901,24.684333333333335,56.45908816466667,44.66866666666667,60.925333333333334,48.437666666666665,63,48.9,100.60000000000001,42.4
2023-10-01,23.542046851290323,25.393225806451614,23.23,23.63935483870968,70.80003456258065,57.255806451612905,79.96741935483871,65.83193548387096,247.7,189.8,325.6,160.70000000000002
2023-11-01,25.239585749,26.884666666666668,24.929666666666666,24.821666666666665,62.32750000033333,54.65533333333333,73.036,59.79833333333333,151.5,205.5,131.2,174.1
2023-12-01,26.462485380666667,26.045806451612904,25.07,24.954838709677418,58.540760234000004,61.784838709677416,76.46161290322581,68.48483870967742,21.400000000000002,286.8,339,214.7
2024-01-01,NA,25.183636363636364,22.776666666666667,22.47,NA,58.842727272727274,71.51666666666667,71.00833333333334,0,39.6,9.7,24.8
