data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-03-22,25.075,0,23.95,4.6,22.79,1.5,23.79,0
2023-03-23,25.58333333,0,22.75,19.7,22.83,4.2,23.7,7.5
2023-03-24,25.70416667,0,23.01,17.3,23.72,9.1,22.79,8.3
2023-03-25,25.6625,0,20.57,0.3,23.58,8.6,22.85,7.4
2023-03-26,26.83333333,0,25.52,0,23,1.3,22.42,1.5
2023-03-27,24.725,0,23.54,0.2,25.68,0,24.14,3.1
2023-03-28,23.95833333,15.3,24.49,7.6,24.54,0,23.54,1.6
2023-03-29,24.5,1.2,26.8,0,22.26,0,23.1,2.1
2023-03-30,24.46666667,1.3,27.74,0,23.07,5.5,23.43,10.5
2023-03-31,25.34782609,1,26.37,0,22.64,10.9,22.71,1.1
2023-04-01,24.4,0,24.74,2.9,22.63,7.9,21.4,2.5
2023-04-02,22.43333333,0,23.97,0,21.11,8.1,18.87,0.7
2023-04-03,22.32083333,0,23.58,9,16.81,0,19.14,0.2
2023-04-04,23.07916667,0,25.25,0,21.07,0,20.62,0
2023-04-05,22.325,0,21.75,0,21.93,1.7,21.5,0
2023-04-06,23.10416667,0,21.15,0,22.62,9.4,21.94,0
2023-04-07,20.67916667,26.6,24.48,1.3,21.85,6.3,21.07,3.1
2023-04-08,21.41666667,0,21.01,25.9,20.89,1.4,21.29,0
2023-04-09,21.625,0.4,22.69,0.2,21.23,11.4,22.02,0.9
2023-04-10,22.00833333,0,24,0,21.24,0.9,21.95,17.7
2023-04-11,21.85416667,0,19.6,0,20.95,0,22.18,2.4
2023-04-12,23.52083333,0,23.15,2.1,22.38,0,22.3,3.5
2023-04-13,23.825,1.9,25.44,0,22.04,0,21.67,0.7
2023-04-14,21.22608696,16.5,24.01,13,22.9,0,21.48,0.5
2023-04-15,22.26666667,1.4,20.86,5,23.55,4.6,21,1.3
2023-04-16,22.42916667,0,19.09,0,21.93,10.7,20.48,0.7
2023-04-17,22.91666667,1.7,23.2,20.9,22.71,5.3,19.97,0
2023-04-18,22.27916667,7.4,25.54,12.2,21.45,0,21.89,0
2023-04-19,21.42083333,17.8,23.91,7.2,20.44,10,23.14,2.2
2023-04-20,16.99583333,0,22.38,25.8,20.98,11.4,22.4,11.8
2023-04-21,17.85833333,0,19.5,8.6,19.9,0.5,19.05,0
2023-04-22,20.09166667,0,21.69,2.9,17.6,0,16.47,0
2023-04-23,20.9125,0,23.21,3.2,17.95,0,18.62,0
2023-04-24,21.34583333,0,22.45,27.2,20.2,0,19.92,0
2023-04-25,20.64166667,0,19.84,1.8,18.94,0,19.97,0
2023-04-26,20.80416667,1.7,23.84,2,21.91,1,20.83,0
2023-04-27,20.15833333,0.2,23.9,0,23.42,0,21.55,1.6
2023-04-28,19.25833333,4.2,24.16,0,21.45,0,19.32,0.6
2023-04-29,19.4875,0,24.55,0,18.68,0,19.12,0
2023-04-30,21.96956522,0,25.12,0,20.14,0,20.57,0
2023-05-01,21.55,0,24.33,0,21.03,0,20.76,0
2023-05-02,21.8,0,22.08,0,20.24,0,21.68,0
2023-05-03,21.83333333,0,24.45,0,22.83,0,22.42,0
2023-05-04,21.82916667,0,25.19,0,22.18,3.3,21.23,1.1
2023-05-05,23.13333333,0,25.32,0.6,22.63,17.7,21.74,0.1
2023-05-06,23.0125,0,23.47,0,22.13,0.7,18.48,3.5
2023-05-07,22.62083333,0,23.16,4.6,21.04,0,18.6,0
2023-05-08,22.68333333,0,17.63,0.8,18.78,2.5,20.55,0.9
2023-05-09,21.6125,0,19.9,3.4,20.75,0,22.72,5.9
2023-05-10,21.3125,8.3,18.35,0,22.98,0,20.06,8.1
2023-05-11,20.70416667,0,20.75,2.8,22.32,3.2,18.09,0.1
2023-05-12,17.68333333,0,17.78,0,20.55,0.8,17.41,0
2023-05-13,16.8375,0,19.32,15.2,16.75,1.5,15.64,0.6
2023-05-14,17.0125,0,21.54,1.3,15.82,0,16.41,0.5
2023-05-15,16.34166667,0,21.75,23.6,13.2,0,16.47,0
2023-05-16,16.36666667,0,18.17,0,14.1,0,16,0
2023-05-17,17.65,0,22.48,0.3,15.51,0,18.01,0
2023-05-18,16.60416667,0,20.12,0.9,17.68,0,19.13,0
2023-05-19,16.6125,0,19.84,0,19.27,0,18.3,0
2023-05-20,16.1875,0,23.22,16.3,19.04,0,17.62,0
2023-05-21,18.01666667,0,22.91,2.5,18.27,0,18.14,0
2023-05-22,18.80416667,0,23.68,0,18.82,0,18.97,0
2023-05-23,19.57916667,0,21.46,0,20.54,0,19.19,0.2
2023-05-24,20.45,0,20.1,0,21.17,0,19.92,0
2023-05-25,21.64583333,0,21.2,0,21.6,0,20.81,0
2023-05-26,21.60833333,0,19.99,0,23.63,0,20.83,0.2
2023-05-27,20.84583333,0,20.32,0,21.28,3.5,21.69,2.4
2023-05-28,19.46666667,0.2,20.33,4.9,21.74,3.5,21.57,0.4
2023-05-29,19.1125,0,21.08,1.2,19.79,4.5,15.13,1.4
2023-05-30,18.21666667,0.9,17.31,0,19.59,0,18.31,8.3
2023-05-31,16.86666667,21.3,21.23,3.1,20.52,1,18.28,1.7
2023-06-01,17.20909091,0,16.19,0.1,18.35,4.5,17.75,0
2023-06-02,17.61666667,0.2,18.97,0,16.78,0,17.57,0
2023-06-03,19.10833333,0,21.88,0,14.26,0,17.93,0
2023-06-04,18.09166667,0,16.88,0,16.21,0,18.75,0
2023-06-05,17.63333333,0,21.07,0,14.32,0,17.84,0
2023-06-06,18.65416667,0,21.7,0,16.81,1,17.18,0
2023-06-07,18.53333333,0,17.63,0,14.12,0,17.56,0
2023-06-08,18.54583333,0,19.57,0,17.7,0,18.34,0
2023-06-09,18.91666667,0,19.68,0,19.63,0,18.82,0
2023-06-10,18.825,0,20.27,0,18.45,0,19.65,0
2023-06-11,20.2125,0,20.79,0,17.69,0,19.1,0
2023-06-12,20.43333333,0,22.53,0,17.5,0,18.83,0
2023-06-13,19.14782609,0,17.98,6.2,19.08,0,19,0
2023-06-14,17.0875,6.2,22.08,0,19.24,0,16.8,1.3
2023-06-15,16.95333333,17.8,22.2,0,16.75,0.8,15.59,7
